X,Y,NAME,ADDRESS,ZIPCODE,WARD,LATITUDE,LONGITUDE,OBJECTID,XCOORD,YCOORD,MAR_ID,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-8575121.82652945,4709740.42414276,Bank of America,1931 14TH STREET NW,20009,Ward 1,38.9166458,-77.03162772,321,397257.13,138753.56,240432,BankPt_2,,{C58A33DA-029F-4950-931C-7CE1A9A05AB5},GHATCHARD,2024/05/01 00:16:35+00,GHATCHARD,2024/05/01 00:16:35+00
-8574243.18155723,4708563.57400293,Chase Bank,850 O STREET NW,20001,Ward 2,38.90842534,-77.02373647,322,397941.25,137840.85,318411,BankPt_64,,{E962FEB3-9337-489F-9B4A-58A808AB4A97},GHATCHARD,2024/05/01 19:32:40+00,GHATCHARD,2024/05/01 19:32:40+00
-8578132.96313438,4712556.92165167,Chase Bank,3527 CONNECTICUT AVENUE NW,20008,Ward 3,38.93633375,-77.05867519,323,394912.88,140940.25,284738,BankPt_67,,{57917B1A-E404-4684-8CAD-EFD3A6CDC94F},GHATCHARD,2024/05/01 19:38:29+00,GHATCHARD,2024/05/01 19:38:29+00
-8580417.73945902,4714190.2563332,Chase Bank,4445 WISCONSIN AVENUE NW,20016,Ward 3,38.94774526,-77.07920087,324,393134.41,142208.41,265179,BankPt_68,,{9846237B-80B4-45B2-8A64-910171A8EA29},GHATCHARD,2024/05/01 19:44:50+00,GHATCHARD,2024/05/01 19:44:50+00
-8579867.2100526,4716408.81610696,Chase Bank,5501 CONNECTICUT AVENUE NW,20015,Ward 3,38.96323829,-77.07425448,325,393564.59,143927.88,302124,BankPt_70,,{0637B72C-B44F-4545-9DE2-A61EAD8EA830},GHATCHARD,2024/05/01 19:47:26+00,GHATCHARD,2024/05/01 19:47:26+00
-8574643.93184535,4718237.36804446,Chase Bank,1145 DAHLIA STREET NW,20012,Ward 4,38.97601581,-77.02733331,326,397631.53,145344.08,336623,BankPt_77,,{0700F9C6-4EE0-4805-9738-3FD9C0EDD15F},GHATCHARD,2024/05/01 19:54:37+00,GHATCHARD,2024/05/01 19:54:37+00
-8569448.20660895,4707433.20471698,Chase Bank,1555 MARYLAND AVENUE NE,20002,Ward 5,38.90052301,-76.98066131,327,401677.5,136963.5,302372,BankPt_84,,{A5F8BB87-A2AF-4569-BE01-8552BC9C32B1},GHATCHARD,2024/05/01 19:57:36+00,GHATCHARD,2024/05/01 19:57:36+00
-8571502.05056126,4707354.67528989,Chase Bank,501 H STREET NE,20002,Ward 6,38.89996926,-76.99911164,328,400077.06,136901.89,15247,BankPt_94,,{5090034A-5ECE-40D4-A2DF-4DC78FEB6F5A},GHATCHARD,2024/05/01 20:01:15+00,GHATCHARD,2024/05/01 20:01:15+00
-8571115.82761144,4705189.57522351,Chase Bank,700 PENNSYLVANIA AVENUE SE,20003,Ward 6,38.88483089,-76.99563947,329,400378.33,135221.42,311942,BankPt_99,,{108B2F02-A1D0-416C-9898-0EFD8061D100},GHATCHARD,2024/05/01 20:10:49+00,GHATCHARD,2024/05/01 20:10:49+00
-8567960.42077132,4701673.87956171,Chase Bank,2728 MARION BARRY AVENUE SE,20020,Ward 7,38.86024742,-76.9672943,330,402838.6,132492.97,338263,BankPt_100,,{3FE908E9-8FDD-4AF7-8554-F99E1ACAFFFA},GHATCHARD,2024/05/01 20:13:50+00,GHATCHARD,2024/05/01 20:13:50+00
-8576179.30578067,4708022.83456735,MainStreet Bank,1130 CONNECTICUT AVENUE NW,20036,Ward 2,38.9046413,-77.04112904,331,396432.54,137421.29,241787,BankPt_111,,{168D1BF7-74EE-407B-92EC-1CF7570F4AAB},GHATCHARD,2024/05/01 20:17:23+00,GHATCHARD,2024/05/01 20:17:23+00
-8576092.6435959,4707860.61883603,PNC Bank,1050 CONNECTICUT AVENUE NW,20036,Ward 2,38.90350778,-77.04035008,332,396500.05,137295.43,243417,BankPt_113,,{90EAD23C-1472-4033-AECE-14ED3E475B3B},GHATCHARD,2024/05/01 20:33:53+00,GHATCHARD,2024/05/01 20:33:53+00
-8567949.90156478,4701765.23036224,PNC Bank,2236 TOWN CENTER DRIVE SE,20020,Ward 7,38.8608896,-76.96720344,333,402846.46,132564.26,313198,BankPt_115,,{EF73CE40-ED7E-4230-A821-2598BE480FFC},GHATCHARD,2024/05/01 20:37:57+00,GHATCHARD,2024/05/01 20:37:57+00
-8573945.62477352,4707850.318666,Sandy Spring Bank,647 NEW YORK AVENUE NW,20001,Ward 2,38.90343973,-77.02106291,335,398173.01,137287.35,319988,BankPt_116,,{05433412-EF15-41E2-9304-B35D34DEDBF5},GHATCHARD,2024/05/01 20:40:35+00,GHATCHARD,2024/05/01 20:49:30+00
-8580180.79601655,4713239.5928229,Bank of America,1 RIDGE SQUARE NW,20016,Ward 3,38.94110478,-77.07707408,641,393318.15,141471.1,334721,BankPt_11,,{C22F305C-E161-4307-A6E6-8AEE9CD1FDB6},GHATCHARD,2024/05/01 17:07:11+00,GHATCHARD,2024/05/01 17:07:11+00
-8569647.07809621,4709591.05657886,Bank of America,2007 WALT LINCOLN WAY NE,20002,Ward 5,38.91560842,-76.98244679,642,401522.3,138638.11,314945,BankPt_12,,{86E04424-E957-4773-94D5-19D261D8DFF5},GHATCHARD,2024/05/01 17:12:50+00,GHATCHARD,2024/05/01 17:12:50+00
-8572332.10394227,4707934.00193209,Bank of America,1100 1ST STREET NE,20002,Ward 6,38.90402564,-77.00656683,643,399430.4,137352.2,306087,BankPt_15,,{123C33CF-F032-4418-90A9-C3201A7E4605},GHATCHARD,2024/05/01 17:16:37+00,GHATCHARD,2024/05/01 17:21:57+00
-8570108.9428036,4704547.34238831,Bank of America,1391 PENNSYLVANIA AVENUE SE,20003,Ward 6,38.88034607,-76.98659583,644,401163.05,134723.61,302637,BankPt_16,,{0ADDD97C-6B09-4B17-A3B9-9A42612E33E3},GHATCHARD,2024/05/01 17:22:40+00,GHATCHARD,2024/05/01 17:22:40+00
-8575189.88440267,4709986.99235805,Capital Bank,1400 W STREET NW,20009,Ward 1,38.9183726,-77.0322391,645,397204.65,138942.29,242884,BankPt_19,,{C0174F48-EC1E-4B70-B9C9-96B3E1779728},GHATCHARD,2024/05/01 17:29:18+00,GHATCHARD,2024/05/01 17:29:18+00
-8574070.47306361,4707581.17986292,Eagle Bank,700 K STREET NW,20001,Ward 2,38.9015557,-77.0221832,646,398065.77,137103.2,319934,BankPt_21,,{5B9723FB-7FF8-456E-B16D-826EF434B165},GHATCHARD,2024/05/01 17:44:29+00,GHATCHARD,2024/05/01 17:44:29+00
